Date,Product ID,Sale Count,Inventory
06-18-2023,Product_1,68,332
06-19-2023,Product_1,82,250
06-20-2023,Product_1,58,192
06-21-2023,Product_1,61,131
06-22-2023,Product_1,60,71
06-23-2023,Product_1,59,12
06-24-2023,Product_1,69,400
06-25-2023,Product_1,69,331
06-26-2023,Product_1,57,274
06-27-2023,Product_1,58,216
06-28-2023,Product_1,57,159
06-29-2023,Product_1,63,96
06-30-2023,Product_1,62,34
07-01-2023,Product_1,72,400
07-02-2023,Product_1,70,330
07-03-2023,Product_1,63,267
07-04-2023,Product_1,79,188
07-05-2023,Product_1,58,130
07-06-2023,Product_1,57,73
07-07-2023,Product_1,58,15
07-08-2023,Product_1,70,400
07-09-2023,Product_1,68,332
07-10-2023,Product_1,58,274
07-11-2023,Product_1,63,211
07-12-2023,Product_1,57,154
07-13-2023,Product_1,59,95
07-14-2023,Product_1,60,35
07-15-2023,Product_1,71,400
07-16-2023,Product_1,69,331
07-17-2023,Product_1,57,274
07-18-2023,Product_1,63,211
07-19-2023,Product_1,64,147
07-20-2023,Product_1,59,88
07-21-2023,Product_1,60,28
07-22-2023,Product_1,68,400
07-23-2023,Product_1,71,329
07-24-2023,Product_1,57,272
07-25-2023,Product_1,62,210
07-26-2023,Product_1,62,148
07-27-2023,Product_1,63,85
07-28-2023,Product_1,59,26
07-29-2023,Product_1,69,400
07-30-2023,Product_1,70,330
07-31-2023,Product_1,58,272
08-01-2023,Product_1,59,213
08-02-2023,Product_1,61,152
08-03-2023,Product_1,61,91
08-04-2023,Product_1,58,33
08-05-2023,Product_1,72,400
08-06-2023,Product_1,69,331
08-07-2023,Product_1,60,271
08-08-2023,Product_1,61,210
08-09-2023,Product_1,60,150
08-10-2023,Product_1,59,91
08-11-2023,Product_1,58,33
08-12-2023,Product_1,70,400
08-13-2023,Product_1,69,331
08-14-2023,Product_1,59,272
08-15-2023,Product_1,58,214
08-16-2023,Product_1,61,153
08-17-2023,Product_1,62,400
08-18-2023,Product_1,63,338
08-19-2023,Product_1,59,279
08-20-2023,Product_1,60,219
08-21-2023,Product_1,61,158
08-22-2023,Product_1,62,96
08-23-2023,Product_1,58,34
08-24-2023,Product_1,73,400
08-25-2023,Product_1,69,332
08-26-2023,Product_1,59,274
08-27-2023,Product_1,58,216
08-28-2023,Product_1,57,159
08-29-2023,Product_1,63,96
08-30-2023,Product_1,62,34
08-31-2023,Product_1,72,400
09-01-2023,Product_1,70,330
09-02-2023,Product_1,58,272
09-03-2023,Product_1,59,213
09-04-2023,Product_1,61,152
09-05-2023,Product_1,61,91
09-06-2023,Product_1,58,33
09-07-2023,Product_1,72,400
09-08-2023,Product_1,69,331
09-09-2023,Product_1,60,271
09-10-2023,Product_1,61,210
09-11-2023,Product_1,60,150
09-12-2023,Product_1,59,91
09-13-2023,Product_1,58,33
09-14-2023,Product_1,70,400
09-15-2023,Product_1,69,331
09-16-2023,Product_1,59,272
09-17-2023,Product_1,58,214
09-18-2023,Product_1,61,153
09-19-2023,Product_1,62,95
09-20-2023,Product_1,58,34
09-21-2023,Product_1,73,400
09-22-2023,Product_1,69,332
09-23-2023,Product_1,59,274
09-24-2023,Product_1,58,216
09-25-2023,Product_1,57,159
09-26-2023,Product_1,63,96
